Movie Name	Movie Type		
Love in the Afternoon (1957)	Comedy		
Gigi (1958)	Musical		
"Adventures of Robin Hood, The (1938)"	Action		
"Mark of Zorro, The (1940)"	Adventure		
Laura (1944)	Crime		
"Ghost and Mrs. Muir, The (1947)"	Drama		
Lost Horizon (1937)	Drama		
Top Hat (1935)	Comedy		
To Be or Not to Be (1942)	Comedy		
My Man Godfrey (1936)	Comedy		
Giant (1956)	Drama		
East of Eden (1955)	Drama		
"Thin Man, The (1934)"	Comedy		
His Girl Friday (1940)	Comedy		
Around the World in 80 Days (1956)	Adventure		
It's a Wonderful Life (1946)	Children		
Mr. Smith Goes to Washington (1939)	Drama		
Bringing Up Baby (1938)	Comedy		
Penny Serenade (1941)	Drama		
Of Human Bondage (1934)	Drama		
Little Lord Fauntleroy (1936)	Drama		
"Inspector General, The (1949)"	Musical		
"39 Steps, The (1935)"	Drama		
Night of the Living Dead (1968)	Horror		
"African Queen, The (1951)"	Adventure		
Beat the Devil (1953)	Adventure		
Cat on a Hot Tin Roof (1958)	Drama		
Meet John Doe (1941)	Comedy		
"Farewell to Arms, A (1932)"	Romance		
Nothing Personal (1995)	Drama		
Dangerous Ground (1997)	Drama		
Picnic (1955)	Drama		
"Pompatus of Love, The (1996)"	Comedy		
Fly Away Home (1996)	Adventure		
Bliss (1997)	Drama		
Grace of My Heart (1996)	Comedy		
Maximum Risk (1996)	Action		
Michael Collins (1996)	Drama		
Infinity (1996)	Drama		
Big Night (1996)	Comedy		
Last Man Standing (1996)	Action		
Set It Off (1996)	Action		
2 Days in the Valley (1996)	Crime		
Extreme Measures (1996)	Drama		
"Glimmer Man, The (1996)"	Action		
D3: The Mighty Ducks (1996)	Children		
"Chamber, The (1996)"	Drama		
"Apple Dumpling Gang, The (1975)"	Children		
"Davy Crockett, King of the Wild Frontier (1955)"	Adventure		
Escape to Witch Mountain (1975)	Adventure		
"Love Bug, The (1969)"	Children		
Herbie Rides Again (1974)	Children		
Old Yeller (1957)	Children		
"Parent Trap, The (1961)"	Children		
Pollyanna (1960)	Children		
Homeward Bound: The Incredible Journey (1993)	Adventure		
"Shaggy Dog, The (1959)"	Children		
Swiss Family Robinson (1960)	Adventure		
That Darn Cat! (1965)	Children		
"20,000 Leagues Under the Sea (1954)"	Adventure		
Cool Runnings (1993)	Comedy		
Angels in the Outfield (1994)	Children		
Cinderella (1950)	Animation		
Winnie the Pooh and the Blustery Day (1968)	Animation		
"Three Caballeros, The (1945)"	Animation		
"Sword in the Stone, The (1963)"	Animation		
Robin Hood: Prince of Thieves (1991)	Adventure		
Mary Poppins (1964)	Children		
Dumbo (1941)	Animation		
Pete's Dragon (1977)	Adventure		
Bedknobs and Broomsticks (1971)	Adventure		
Alice in Wonderland (1951)	Adventure		
"Fox and the Hound, The (1981)"	Animation		
Freeway (1996)	Comedy		
"Sound of Music, The (1965)"	Musical		
Die Hard (1988)	Action		
"Lawnmower Man, The (1992)"	Action		
"Secret Agent, The (1996)"	Drama		
Secrets & Lies (1996)	Drama		
That Thing You Do! (1996)	Comedy		
To Gillian on Her 37th Birthday (1996)	Drama		
Beautiful Thing (1996)	Drama		
"Long Kiss Goodnight, The (1996)"	Action		
"Ghost and the Darkness, The (1996)"	Action		
Looking for Richard (1996)	Documentary		
Trees Lounge (1996)	Drama		
Normal Life (1996)	Crime		
Get on the Bus (1996)	Drama		
Shadow Conspiracy (1997)	Thriller		
Jude (1996)	Drama		
Everyone Says I Love You (1996)	Comedy		
William Shakespeare's Romeo + Juliet (1996)	Drama		
Swingers (1996)	Comedy		
Sleepers (1996)	Thriller		
Aladdin and the King of Thieves (1996)	Animation		
Shall We Dance (1937)	Comedy		
Crossfire (1947)	Crime		
Willy Wonka & the Chocolate Factory (1971)	Children		
"Innocents, The (1961)"	Drama		
Sleeper (1973)	Comedy		
Bananas (1971)	Comedy		
"Fish Called Wanda, A (1988)"	Comedy		
Monty Python's Life of Brian (1979)	Comedy		
Victor/Victoria (1982)	Comedy		
"Candidate, The (1972)"	Drama		
"Great Race, The (1965)"	Comedy		
Bonnie and Clyde (1967)	Crime		
"Old Man and the Sea, The (1958)"	Adventure		
Dial M for Murder (1954)	Crime		
Dirty Dancing (1987)	Drama		
Reservoir Dogs (1992)	Crime		
Platoon (1986)	Drama		
Weekend at Bernie's (1989)	Comedy		
Basic Instinct (1992)	Crime		
"Doors, The (1991)"	Drama		
"Crying Game, The (1992)"	Drama		
Glengarry Glen Ross (1992)	Drama		
Sophie's Choice (1982)	Drama		
E.T. the Extra-Terrestrial (1982)	Children		
"Christmas Carol, A (1938)"	Children		
Days of Thunder (1990)	Action		
Top Gun (1986)	Action		
Rebel Without a Cause (1955)	Drama		
"Streetcar Named Desire, A (1951)"	Drama		
Children of the Corn IV: The Gathering (1996)	Horror		
Loser (1991)	Comedy		
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)	Documentary		
Palookaville (1996)	Action		
"Funeral, The (1996)"	Crime		
"Single Girl, A (Fille seule, La) (1995)"	Drama		
"Eighth Day, The (Huiti??me jour, Le) (1996)"	Drama		
Drunks (1995)	Drama		
"People vs. Larry Flynt, The (1996)"	Comedy		
Glory Daze (1995)	Drama		
"Perfect Candidate, A (1996)"	Documentary		
On Golden Pond (1981)	Drama		
"Return of the Pink Panther, The (1975)"	Comedy		
Drop Dead Fred (1991)	Comedy		
"Abyss, The (1989)"	Action		
"Fog, The (1980)"	Horror		
Escape from New York (1981)	Action		
"Howling, The (1980)"	Horror		
Jean de Florette (1986)	Drama		
Manon of the Spring (Manon des sources) (1986)	Drama		
Private Benjamin (1980)	Comedy		
Monty Python and the Holy Grail (1975)	Adventure		
Hustler White (1996)	Romance		
Entertaining Angels: The Dorothy Day Story (1996)	Drama		
"Line King: The Al Hirschfeld Story, The (1996)"	Documentary		
When We Were Kings (1996)	Documentary		
Wallace & Gromit: The Wrong Trousers (1993)	Animation		
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"	Drama		
Lesson Faust (1994)	Animation		
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)"	Drama		
"Tin Drum, The (Blechtrommel, Die) (1979)"	Drama		
"Ruling Class, The (1972)"	Comedy		
Mina Tannenbaum (1994)	Drama		
Dear God (1996)	Comedy		
Best of the Best 3: No Turning Back (1995)	Action		
Bob Roberts (1992)	Comedy		
Cinema Paradiso (Nuovo cinema Paradiso) (1989)	Drama		
"Cook the Thief His Wife & Her Lover, The (1989)"	Comedy		
Delicatessen (1991)	Comedy		
"Double Life of Veronique, The (Double Vie de V??ronique, La) (1991)"	Drama		
Enchanted April (1992)	Drama		
Paths of Glory (1957)	Drama		
"Grifters, The (1990)"	Crime		
Hear My Song (1991)	Comedy		
"English Patient, The (1996)"	Drama		
Mediterraneo (1991)	Comedy		
My Left Foot (1989)	Drama		
"Sex, Lies, and Videotape (1989)"	Drama		
Passion Fish (1992)	Drama		
Strictly Ballroom (1992)	Comedy		
"Thin Blue Line, The (1988)"	Documentary		
Tie Me Up! Tie Me Down! (?≠?Åtame!) (1990)	Crime		
Madonna: Truth or Dare (1991)	Documentary		
Paris Is Burning (1990)	Documentary		
One Flew Over the Cuckoo's Nest (1975)	Drama		
Cheech and Chong's Up in Smoke (1978)	Comedy		
Star Wars: Episode V - The Empire Strikes Back (1980)	Action		
"Princess Bride, The (1987)"	Action		
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	Action		
Brazil (1985)	Fantasy		
Aliens (1986)	Action		
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"	Action		
Withnail & I (1987)	Comedy		
12 Angry Men (1957)	Drama		
Lawrence of Arabia (1962)	Adventure		
"Clockwork Orange, A (1971)"	Crime		
To Kill a Mockingbird (1962)	Drama		
Apocalypse Now (1979)	Action		
Once Upon a Time in the West (C'era una volta il West) (1968)	Action		
Star Wars: Episode VI - Return of the Jedi (1983)	Action		
"Wings of Desire (Himmel ?¨ber Berlin, Der) (1987)"	Drama		
"Third Man, The (1949)"	Film-Noir		
Goodfellas (1990)	Crime		
Alien (1979)	Horror		
Army of Darkness (1993)	Action		
"Big Blue, The (Grand bleu, Le) (1988)"	Adventure		
Ran (1985)	Drama		
"Killer, The (Die xue shuang xiong) (1989)"	Action		
Psycho (1960)	Crime		
"Blues Brothers, The (1980)"	Action		
"Godfather: Part II, The (1974)"	Crime		
Full Metal Jacket (1987)	Drama		
"Grand Day Out with Wallace and Gromit, A (1989)"	Adventure		
Henry V (1989)	Action		
Amadeus (1984)	Drama		
"Quiet Man, The (1952)"	Drama		
Once Upon a Time in America (1984)	Crime		
Raging Bull (1980)	Drama		
Annie Hall (1977)	Comedy		
"Right Stuff, The (1983)"	Drama		
Stalker (1979)	Drama		
"Boot, Das (Boat, The) (1981)"	Action		
"Sting, The (1973)"	Comedy		
Harold and Maude (1971)	Comedy		
Trust (1990)	Comedy		
"Seventh Seal, The (Sjunde inseglet, Det) (1957)"	Drama		
Local Hero (1983)	Comedy		
"Terminator, The (1984)"	Action		
Dead Alive (Braindead) (1992)	Comedy		
Glory (1989)	Drama		
Rosencrantz and Guildenstern Are Dead (1990)	Comedy		
Manhattan (1979)	Comedy		
Miller's Crossing (1990)	Crime		
Dead Poets Society (1989)	Drama		
"Graduate, The (1967)"	Comedy		
Touch of Evil (1958)	Crime		
"Femme Nikita, La (Nikita) (1990)"	Action		
"Bridge on the River Kwai, The (1957)"	Adventure		
8 1/2 (8?´) (1963)	Drama		
Chinatown (1974)	Crime		
"Day the Earth Stood Still, The (1951)"	Drama		
"Treasure of the Sierra Madre, The (1948)"	Action		
Bad Taste (1987)	Comedy		
Duck Soup (1933)	Comedy		
Better Off Dead... (1985)	Comedy		
"Shining, The (1980)"	Horror		
Stand by Me (1986)	Adventure		
M (1931)	Crime		
Evil Dead II (Dead by Dawn) (1987)	Action		
"Great Escape, The (1963)"	Action		
"Deer Hunter, The (1978)"	Drama		
Diva (1981)	Action		
Groundhog Day (1993)	Comedy		
Unforgiven (1992)	Drama		
"Manchurian Candidate, The (1962)"	Crime		
Pump Up the Volume (1990)	Comedy		
Arsenic and Old Lace (1944)	Comedy		
Back to the Future (1985)	Adventure		
Fried Green Tomatoes (1991)	Comedy		
Patton (1970)	Drama		
Down by Law (1986)	Comedy		
Akira (1988)	Action		
Highlander (1986)	Action		
Cool Hand Luke (1967)	Drama		
Cyrano de Bergerac (1990)	Comedy		
Young Frankenstein (1974)	Comedy		
Night on Earth (1991)	Comedy		
Raise the Red Lantern (Da hong deng long gao gao gua) (1991)	Drama		
"Great Dictator, The (1940)"	Comedy		
Fantasia (1940)	Animation		
High Noon (1952)	Drama		
"Big Sleep, The (1946)"	Crime		
Heathers (1989)	Comedy		
Somewhere in Time (1980)	Drama		
Ben-Hur (1959)	Action		
This Is Spinal Tap (1984)	Comedy		
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)	Documentary		
Some Kind of Wonderful (1987)	Drama		
Indiana Jones and the Last Crusade (1989)	Action		
Being There (1979)	Comedy		
Gandhi (1982)	Drama		
"Unbearable Lightness of Being, The (1988)"	Drama		
"Room with a View, A (1986)"	Drama		
Real Genius (1985)	Comedy		
Pink Floyd: The Wall (1982)	Drama		
"Killing Fields, The (1984)"	Drama		
